idx,smiles,homolumogap
14499,CC1CC(N)C=NN1,13.86409
31440,CC12C=CCC1CC2,14.43144
6519,CN1OCC=CC1=N,12.93238
16442,CC=C1C=NOCC1,12.38217
13756,CN=C(NC)N1CC1,14.79662
19773,Cc1nc(=O)cco1,13.51633
5100,C=C1CCNC(=O)N1,13.65728
22447,NC1C(O)C1C=NO,14.26382
22564,C=C1OCC2(C)NC12,14.05484
25195,C=Cc1cnc(C)s1,11.07712
16742,C=C(C)C1NC1(C)C,14.21783
2685,CC(=O)C1CC1(C)O,14.98927
33173,O=C1C=CCC=CC1,12.70326
41037,C=C(C)CC1CCC1,14.53865
38614,C=C1C=CC(O)CC1,12.19877
2366,NC(=O)CNC1CC1,16.1052
19436,OC1CC=CC2CC12,13.89484
7138,C#CC1C(C)C1OC,15.43608
7983,Cc1ccc(N=N)[nH]1,10.74025
11934,C#CCc1cnoc1,13.93239
16508,C#CC1C=NNC1,14.05566
44107,CC1=NOCOC1C,15.01104
15534,C=C1CCC=COC1,13.96395
40571,C#CC1=CC(=C)CO1,10.77562
5547,N#CC1CNCC1O,15.8135
38088,CC1=CN=C(C)C1=O,10.7631
27396,CC1CC(C#N)=NO1,13.43252
45293,CC1=NOCCO1,15.47771
35126,CCC1CN1C=NO,14.61348
18910,CN=C1CC=CN1,12.77074
1924,CC1=CCC(=O)N1C,12.97755
5145,NC(=O)C1(N)COC1,15.50193
11891,C=CC1=NNCC1=C,11.19821
2486,N#CCC1NC1CO,16.25513
1678,C#Cc1nscc1O,11.54189
9882,O=C1COC2CC2C1,13.95443
45388,CC1NCC1C(=O)O,15.14764
26208,CC1C(C)C1(C)C#N,16.14248
4911,O=CC1C=CC2OC12,13.66137
22591,C#CC1COCC1=C,14.04994
43778,CC1=CC(=O)C2CN12,12.72421
2439,CC1CC1OC=NO,15.04723
7699,CNC(=N)C1CO1,14.68859
33252,CC1CC(=O)CC1O,14.80804
39781,C(=NN1CC1)C1CC1,14.32314
34348,CC1CCC=CCC1,14.39634
31270,OCCN1CCC=N1,13.89484
20686,N=C(CO)N1CC1,14.98845
42725,C=C1CNCC(C)C1,14.27715
15303,C1=CC2OCC1CO2,14.44505
1244,C=C1C2CC(O2)C1N,14.36124
35182,C=CC1(C)CCO1,14.78301
29634,C=C1C=CCC(C)O1,12.05563
33003,CCNC1CC1C=O,14.36505
16286,COC1=CC2OC2C1,13.79688
70,C=C1C=CC(=O)CC1,11.51957
14493,OC12CC=CC1OC2,14.62818
21551,O=CNc1nccs1,12.23849
5817,N=C1NCCC1=O,12.39822
45253,CC1NCC1OC=O,15.13485
8125,COn1ccsc1=N,12.36122
28872,CC1CCNC(=N)C1,14.71008
11397,C#CC1=COCC1,12.51578
7415,C1=CN=CNC=NC1,12.75469
24629,CC(C#N)C1OC1C,17.39555
19831,C=NN1CCNCC1,13.66409
27705,N#Cc1coc(N)n1,12.57265
45080,C#CC1(N)C(N)C1O,14.74301
40377,N=C(N)C#CC1CN1,13.5381
37247,NC(=O)CC1CCO1,16.27119
28472,C=NNCCC1CC1,14.19198
45552,CC12C=CC(O1)C2O,13.93756
46691,C#CCC1OC1CC,16.32371
40463,N=C1NOC2CC2O1,15.06546
22383,C#Cc1cnsc1O,12.30054
10156,C=C1C=NOCC1N,12.6668
24450,O=Cc1ccns1,11.54406
44066,NCC1CC=CO1,14.25539
20045,C1=CC2OC2CCC1,14.28559
11047,C=CC(=C)CC1CO1,12.39768
