smiles,homolumogap,C_count,N_count,O_count,S_count,X_count,pi_bonds,Predicted_esm,Predicted_Exp
CCn1c2ccccc2c2cc(/C=C/c3cccc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+]3CCCS(=O)(=O)[O-])ccc21,2.742549669,40,3,3,1,0,40,19.77624016,2.558897126
COc1ccc(/C=C/c2ccc(/C=C/c3cc[n+]4ccc(/C=C/c5ccc(/C=C/c6ccc(OC)cc6)cc5)cc4c3)cc2)cc1,2.683315335,43,1,2,0,0,39,19.77624016,2.420597126
Brc1cnc(-c2ccncc2)s1,4.06004902,8,2,0,1,1,11,12.63941718,3.762897853
COc1ccc(C2C3=C(CCCC3=O)Nc3c2c(=O)oc2ccccc32)cc1,3.441481994,23,1,4,0,0,20,18.84049642,3.307038864
C[Si](C)(c1c2ccccc2cc2ccccc12)[Si](C)(C)c1c2ccccc2cc2ccccc12,3.128194683,32,0,0,0,0,32,15.13290609,2.751250431
Cc1ccccc1Oc1ccc2c3c(cccc13)C(=O)N(CCO)C2=O,3.499647887,21,1,4,0,0,19,15.75264664,3.281900572
c1csc(-c2cccs2)c1,4.086759868,8,0,0,2,0,10,11.59037608,3.723034291
Oc1ccc2ccccc2c1/C=N/c1cc2nc3ccccc3nc2cc1/N=C/c1c(O)ccc2ccccc12,2.958035714,34,4,2,0,0,40,19.77624016,2.835497126
O=C1CC(=O)Nc2cc([N+](=O)[O-])ccc2N1,3.981971154,9,3,4,0,0,9,12.70827483,3.719414444
N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)c1ccccc1,3.137310606,27,5,2,0,0,28,19.77624016,3.158197126
Clc1ccc2c(c1)Nc1ccccc1S2,3.846362229,12,1,0,1,1,12,11.43907664,3.532884912
N#Cc1coc2ccccc2c1=O,3.95660828,10,1,2,0,0,13,11.95080411,3.644530556
Cc1cc(C)nc(N)n1,4.183080808,6,3,0,0,0,6,12.74473782,3.859100037
CC(C)(C)[N+](=O)[O-],4.501358696,4,1,2,0,0,1,16.30019884,4.086407556
N#Cc1cccc(N)c1,4.018153789,7,2,0,0,0,7,11.72085034,3.774092313
CCCCCCC(CCCC)Cn1c(=O)c2cc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc2c2sc(C)cc21,2.59,49,1,3,4,0,29,19.77624016,2.143997126
FC(F)(F)c1ccc(-c2pc3ccccc3s2)cc1,3.753398792,14,0,0,1,3,16,11.62329872,3.447685351
CCOC(=O)c1cccc(N)c1,3.943439907,9,1,2,0,0,7,12.61150975,3.71573737
c1ccc(-c2nc(-c3ccccn3)sc2N(c2ccccc2)c2ccccc2)cc1,3.201997423,26,3,0,1,0,29,19.77624016,3.204297126
CCOC(=O)c1cc(C(=O)OCC)c2cc(C)ccc2n1,3.764772727,16,1,4,0,0,13,14.91326822,3.480504192
C#Cc1ccc2c(C)cc(=O)oc2c1,3.822692308,12,0,2,0,0,13,12.58227168,3.576326324
Cc1ccc(N(c2ccc(C)cc2)c2c([O-])c(=[N+](c3ccc(C)cc3)c3ccc(C)cc3)c2=O)cc1,2.993674699,32,2,2,0,0,30,19.77624016,2.927697126
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,3.480042017,20,2,2,0,0,23,18.16938445,3.419836609
COc1ccc(-c2cc3c(ccc4sc(/C=C/c5cccs5)cc43)s2)cc1,3.30418883,23,0,1,3,0,26,12.49735054,3.06599932
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,3.751132246,14,0,3,0,0,12,13.15109098,3.505741457
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,3.764772727,13,2,1,0,0,11,13.98531519,3.583541977
N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1)c1ccccc1,3.067592593,27,4,0,0,0,27,19.77624016,3.158197126
N#Cc1ccccc1N,3.95660828,7,2,0,0,0,7,11.86574977,3.779598491
O=C(N/N=C/c1ccccc1O)c1ccccc1O,3.719685629,14,2,3,0,0,14,12.7883934,3.491958949
CN(C)c1ccc(/C=C/C=C/c2ccc3ncnc(Nc4ccccc4)c3c2)cc1,3.082816377,26,4,0,0,0,25,19.77624016,3.204297126
COc1ccc2c(c1)c1ccccc1n2-c1nc2ccccc2nc1-n1c2ccccc2c2cc(OC)ccc21,2.937056738,34,4,2,0,0,41,19.77624016,2.835497126
COc1ccc(C#Cc2nc3ccccc3nc2-c2ccn(-c3ccccc3)c2)cc1,3.161259542,27,3,1,0,0,29,19.77624016,3.158197126
N#CC1=C(N)n2c(=O)c3ccccc3c(=O)n2C1c1cccs1,3.509533898,16,4,2,1,0,20,11.77763436,3.361350106
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3cnn(-c4ccccc4)c3nc12,3.278034301,23,4,2,0,0,27,19.77624016,3.342597126
CCCCCCc1ccc2c3c(ccc2c1)O[B-](F)(F)[N+](c1ccc([N+]2=Cc4c(ccc5cc(CCCCCC)ccc45)O[B-]2(F)F)cc1)=C3,2.849483945,40,2,2,0,4,30,19.77624016,2.558897126
c1ccc(Nc2ccc3ccccc3n2)cc1,3.570043103,15,2,0,0,0,17,14.48133288,3.510190649
N#Cc1cnc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)nc1,3.153236041,25,3,0,0,0,29,19.77624016,3.250397126
COc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,3.742093373,15,2,2,0,0,11,15.78630337,3.559779528
Oc1ccc2ccccc2c1,3.787728659,10,0,1,0,0,11,12.16011303,3.652484295
C[Si](C)(C)[Si](c1ccc(-c2ccc(-c3ccc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)s3)s2)s1)([Si](C)(C)C)[Si](C)(C)C,3.153236041,30,0,0,3,0,15,19.77624016,3.019897126
CN(C)c1ccc(-c2nc3nccnc3n2-c2ccccc2)cc1,3.348719677,19,5,0,0,0,22,19.77624016,3.526997126
COC(=O)c1nc2c(N(C)C)nc(N(C)C)nc2n1Cc1ccccc1,3.539529915,18,6,2,0,0,17,15.44256608,3.408417511
OCc1cc(/N=N/c2ccc(-c3ccc4ccccc4c3)cc2F)ccc1O,3.16932398,23,2,2,0,1,24,18.03773022,3.276533748
Cc1cc(C)c(B2c3cc(C(C)(C)C)cc4ccc5ccc6cc(C(C)(C)C)cc2c6c5c34)c(C)c1,2.909543326,35,0,0,0,0,27,19.77624016,2.789397126
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,2.7481335,34,4,0,0,0,39,19.77624016,2.835497126
COc1ccc2ncccc2c1,3.753398792,10,1,1,0,0,11,12.13018137,3.651346892
Oc1ccc(-c2cccs2)cc1-c1nc2ccccc2s1,3.441481994,17,1,1,2,0,21,12.28660583,3.334591022
O=c1ccc2cc3c(cc2o1)OCC3,3.697544643,11,0,3,0,0,12,12.678804,3.626094552
O=c1oc2cc3c(cc2cc1/C=C/c1ccccc1)OCO3,3.366869919,18,0,4,0,0,19,14.86710965,3.386550167
Nc1ccc2[nH]ncc2c1,3.810966258,7,3,0,0,0,10,11.69123488,3.772966925
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,3.549642857,14,3,4,2,0,15,12.4799058,3.48023642
CN(C)c1cc(F)c(C(=O)c2cc(F)c(N(C)C)cc2F)cc1F,3.470321229,17,2,1,0,4,13,14.91960463,3.434644976
N#CC(C#N)=Cc1ccc(-c2ccc(-c3nc4ccccc4s3)c(O)c2)o1,3.153236041,21,3,2,1,0,24,17.74487486,3.357605245
Cc1ccc(-c2ccc(/C=C/c3cccn3C)cn2)nc1,3.339717742,18,3,0,0,0,18,18.84049642,3.537538864
COc1ccc(-c2nc(N)nc(C#N)c2C#N)cc1OC,3.580331412,14,5,2,0,0,14,15.92832891,3.611276498
CCOC(=O)C1(O)c2cc3ccc4cccc5ccc(c2C(=O)N1C(C)(C)C)c3c45,3.226948052,25,1,4,0,0,21,19.77624016,3.250397126
CC1=C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(C)=[N+]2C1=C(c1c(-c3ccccn3)nc3ccccn13)c1c(C)cc(C)n1[B-]2(F)F,2.313547486,43,6,0,0,2,42,19.77624016,2.420597126
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,3.549642857,13,3,4,2,0,15,12.32835048,3.520577318
Clc1ncc(-c2c3ccccc3c(-c3cnc(Cl)nc3)c3ccccc23)cn1,3.137310606,22,4,0,0,2,28,19.77624016,3.388697126
c1ccc2c(c1)nc1ccccn12,3.611555233,11,2,0,0,0,15,11.26594519,3.572405917
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,3.403767123,17,0,4,0,0,14,14.4795368,3.417922399
CC(C)(C)NC(=O)c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34,3.226948052,26,2,2,0,0,21,19.77624016,3.204297126
O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,2.937056738,27,2,1,0,0,24,19.77624016,3.158197126
CC1(C)C(=O)C=Cc2ccc(O)cc21,3.643328446,12,0,2,0,0,8,12.26484425,3.564264082
Nc1ccc(O)c(C(=O)[O-])c1,3.753398792,7,1,3,0,0,7,12.26675112,3.794836543
COc1cccc2c1oc(=O)c1c(=O)oc3cc(O)ccc3c12,3.403767123,17,0,6,0,0,23,12.56931316,3.3453339
CNc1ccc(/C=C/C(=O)OC)cc1,3.577444713,11,1,2,0,0,8,11.94080063,3.598050424
CC1=N/C(=C\c2ccncc2)C(=O)N1C,3.580331412,11,3,1,0,0,9,11.45849188,3.579722692
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(cnn3-c3ccccc3)c12,3.082816377,24,4,2,0,0,27,19.77624016,3.296497126
CS(=O)(=O)c1ccc(-c2cc3ccc(N)cc3c(=O)o2)cc1,3.385217984,16,1,4,1,0,20,11.97370734,3.368800879
O=C1c2ccccc2C2=Nc3cccc[n+]3[B-](F)(F)N12,3.441481994,13,3,1,0,2,14,12.18916263,3.51528818
CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3c4ccccc4c(=O)c4ccccc4c3nc12)(C(C)C)C(C)C,2.440815324,47,2,1,0,0,35,19.77624016,2.236197126
O=[N+]([O-])c1cccc(O)c1,3.787728659,6,1,3,0,0,7,11.93886204,3.828476757
CC(=O)c1ccn2c3c(c(-c4ccc(C(F)(F)F)cc4)c2c1)CN(CCCNC(=O)OC(C)(C)C)C3=O,3.067592593,27,3,4,0,3,19,18.16938445,3.097136609
CCN(CC)c1ccc2c(c1)oc(=O)c1c(=O)oc3c(C)c4oc(=O)c5c(=O)oc6cc(N(CC)CC)ccc6c5c4cc3c12,2.71260917,35,2,8,0,0,40,19.77624016,2.789397126
O=C(O)c1ccccc1Nc1ccccc1,3.441481994,13,1,2,0,0,13,12.73584086,3.536061953
CC1=[N+]2C(=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,2.095067454,47,5,0,0,4,40,19.77624016,2.236197126
CCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CCCCCC)nc2s1,2.25,50,2,0,6,0,29,19.77624016,2.097897126
O=S(=O)([O-])c1ccc2c([O-])cc(S(=O)(=O)[O-])cc2c1,3.549642857,10,0,7,2,0,15,12.18117237,3.65328455
COC(=O)CN1C(=O)c2cc3ccc(N(C)C)cc3cc2C1=O,3.330764075,17,2,4,0,0,14,13.88778548,3.395435848
F[B-]1(F)OC(c2ccc3c(c2)Cc2ccccc2-3)=CC(c2ccccc2)=[O+]1,3.015473301,22,0,2,0,2,20,13.15350789,3.1370333
COc1ccc(C(=O)NN2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1,3.30418883,21,2,4,0,0,11,17.67953685,3.3551224
CCC(CC)n1c2ccccc2c2cc3c(cc21)c1ccccc1n3C(CC)CC,2.965095465,28,2,0,0,0,24,19.77624016,3.112097126
COC(=O)c1ccc(/C=C2\C=C(c3ccc(C#N)cc3)OC2=O)cc1,3.075185644,20,1,4,0,0,17,17.69747197,3.401903935
O=C1c2ccc3c4c(-c5ccccc5)cc5c6c(ccc(c7c(-c8ccccc8)cc(c2c37)C(=O)N1C1CCCCC1)c64)C(=O)N(C1CCCCC1)C5=O,2.23448741,48,2,4,0,0,40,19.77624016,2.190097126
COc1cc(/C=C2\C=C(c3ccccc3)C=C2c2ccccc2)cc(OC)c1,2.849483945,26,0,2,0,0,21,19.77624016,3.204297126
C(/C=C/Nc1ccccc1)=[NH+]c1ccccc1,3.260826772,15,2,0,0,0,14,15.4973965,3.548801067
COc1ccc(/C=C/c2cc[n+]3ccc(/C=C/c4ccc(OC)cc4)cc3c2)cc1,2.798141892,27,1,2,0,0,25,19.77624016,3.158197126
CN(C)c1ccc(/C=C/C=C/c2ccc(C#N)cc2)cc1,3.1059375,19,2,0,0,0,15,17.07934994,3.424515298
CN(C)c1ccc(/C=C/C(=O)O)cc1,3.470321229,11,1,2,0,0,8,12.1295764,3.605223903
CC(C)(C)OC(=O)NCCCC(=O)OCc1ccc2c3cccc4cccc(c5cccc1c52)c43,2.83001139,30,1,4,0,0,26,19.77624016,3.019897126
C(#Cc1cccs1)C(C#Cc1cccs1)=Cc1ccc(C=C(C#Cc2cccs2)C#Cc2cccs2)s1,2.55632716,32,0,0,5,0,31,19.77624016,2.927697126
CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,3.529474432,13,1,2,0,1,8,12.74581389,3.536440928
Cc1cc(C)c(-c2c3ccccc3c3ccc4cc5c(-c6c(C)cc(C)cc6C)c6ccccc6c6ccc7cc2c3c4c7c56)c(C)c1,2.046746293,48,0,0,0,0,49,19.77624016,2.190097126
COc1ccc(-c2nc3ccccc3oc2=O)cc1,3.339717742,15,1,3,0,0,18,13.78069325,3.483566344
COc1ccc(-c2cc3c(s2)c(C(C)=O)cc(=O)n3Cc2ccccc2)cc1,2.916373239,23,1,3,1,0,24,17.1963686,3.244562007
O=S(=O)(/N=c1\oc2cccc3c4c(-c5ccccc5)oc5cccc(c(c1-c1ccccc1)c23)c54)C(F)(F)F,2.700815217,30,1,4,1,3,38,13.15888507,2.768437633
CCOC(=O)c1cc(C(=O)OCC)c2cccc(OC)c2n1,3.376019022,16,1,5,0,0,13,14.9377909,3.481436054
c1ccc2cc3cnccc3cc2c1,3.348200625,13,1,0,0,0,16,11.83081865,3.501671109
COc1c2ccccc2c(OC)c2c1c1ccc(F)cc1n2C,3.145253165,19,1,2,0,1,20,13.70601082,3.296328411
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(O)cc1)c64)C(=O)N(c1ccc(O)cc1)C5=O,2.380028736,36,2,6,0,0,40,19.77624016,2.743297126
Cc1ccc(CN(Cc2ccc(C)cc2)c2nc(C#N)c(N(Cc3ccc(C)cc3)Cc3ccc(C)cc3)nc2C#N)cc1,2.504788306,38,6,0,0,0,32,19.77624016,2.651097126
CCOC(=O)CSc1nc2c(c(C#N)c1C#N)CCCC2,3.413118132,15,3,2,1,0,9,13.1448914,3.459405873
CCCCN1c2ccccc2Sc2cc(/C=C/c3nc4nc5ccccc5nc4s3)ccc21,2.736508811,27,4,0,2,0,28,19.77624016,3.158197126
COC(=O)/C=C/C=C/c1ccc(N(C)C)cc1,3.313,14,1,2,0,0,9,12.76719807,3.491153527
c1cc2c3cscc3c3ccsc3c2s1,3.451041667,12,0,0,3,0,18,11.3341507,3.528897726
COc1ccc(-c2csc(/C(C#N)=N\Nc3ccc(C#N)cc3)n2)cc1,3.067592593,19,5,1,1,0,20,17.05109066,3.423441445
Cc1cccc(C2=Cc3c4ccccc4c4ccccc4[n+]3[B-](F)(F)O2)c1,2.862615207,22,1,1,0,2,23,12.67321094,3.118782016
CN(C)c1ccc(/C=C/c2cc[n+](CCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,2.561603318,33,4,0,0,0,26,19.77624016,2.881597126
O=C1c2ccccc2-c2c(-c3cc(Cl)ccc3O)[nH]c(=O)n21,3.145253165,16,2,3,0,1,19,15.10556457,3.487811454
Cc1c2c(c(C)c3ccccc13)-c1cc3nc4ccccc4nc3cc1-2,2.773158482,24,2,0,0,0,27,19.77624016,3.296497126
CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,2.179605263,43,5,1,1,0,32,19.77624016,2.420597126
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,3.052518428,20,3,2,0,0,22,18.65501342,3.43829051
Cc1c2c(c(C)c3ccccc13)C1=C2C=CC2Nc3ccccc3NC12,2.842963387,24,2,0,0,0,19,19.77624016,3.296497126
COc1ccc(OC)c(C=O)c1,3.529474432,9,0,3,0,0,7,12.70782812,3.719397469
COc1ccc(O[B-]2(Oc3ccc(OC)cc3)n3c(C)cc(C)c3C(c3ccc(I)cc3)=C3C(C)=CC(C)=[N+]32)cc1,2.450443787,33,2,4,0,1,26,19.77624016,2.881597126
F[B-]1(F)OC(c2cccc(Br)c2)=Cc2c3ccccc3c3ccccc3[n+]21,2.875868056,21,1,1,0,3,23,12.74446126,3.167589528
O=c1cc2c(-c3c(O)c4cccc5ccc6oc(=O)cc3c6c54)c(O)c3cccc4ccc(o1)c2c43,2.55632716,30,0,6,0,0,40,18.47408251,2.970415136
O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1,3.339717742,10,4,2,0,0,18,11.41439387,3.624146967
F[B-]1(F)n2c(Oc3ccccc3)c(Cl)c3c2C(=C2C(Br)=C(Cl)C(Oc4ccccc4)=[N+]21)Oc1ccccc1-3,2.632150424,27,2,3,0,5,26,13.06211086,2.903060213
CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,2.965549125,19,1,2,0,0,19,14.02158964,3.308320406
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,3.09819202,17,0,3,1,0,18,12.29655573,3.334969118
CCCCNc1ccc2c3c(cccc13)C(=O)N(c1ccc(O)cc1)C2=O,2.902745327,22,2,3,0,0,19,18.03773022,3.322633748
Clc1cnc2nn3ccccc3c2c1,3.330764075,10,3,0,0,1,15,11.40233054,3.623688561
CN(C)CCNc1ccc2c3c(cccc13)C(=O)N(c1ccc(O)cc1)C2=O,2.889244186,22,3,3,0,0,19,18.29259055,3.332318441
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,2.666040773,32,3,1,0,0,20,19.77624016,2.927697126
COc1ccc2c(c1)c(C#N)cc1c(OC)c(OC)c3cc(C#N)c4cc(OC)ccc4c3c12,2.637738854,28,2,4,0,0,28,19.77624016,3.112097126
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3cc(/C=C/c4ccc(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)s4)c(C)s3)cc21,1.94,50,3,2,3,0,30,19.77624016,2.097897126
COC(=O)c1cc(=O)n(C)c2cc(-c3ccc4c(c3)OCO4)sc12,3.075185644,17,1,5,1,0,18,12.08613903,3.326973283
CN(C)c1ccc2c(c1)C(=O)NC2=O,3.348719677,10,2,2,0,0,8,12.84000759,3.678320288
CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,2.02,49,3,0,3,0,35,19.77624016,2.143997126
CCCCCn1c2ccc(S(=O)(=O)Cl)cc2c(=O)c2cc(S(=O)(=O)Cl)ccc21,3.060036946,18,1,5,2,2,21,12.8435158,3.309653601
F[B-]1(F)n2cccc2C(c2c3ccccc3c(-c3ccccc3)c3ccccc23)=C2C=CC=[N+]21,2.455286561,29,2,0,0,2,30,17.69747197,2.987003935
CCOC(=O)c1c(N)sc(/N=C/c2cccs2)c1C(=O)OCC,3.1059375,15,2,4,2,0,13,11.72777248,3.405555354
[O-][n+]1c(/C=C/c2cccs2)nc(N2CCOCC2)c2c1CCCC2,3.1059375,18,3,2,1,0,12,14.49336978,3.372348052
CCN(CC)c1ccc2cc(C#N)/c(=N\C(=O)c3ccccc3)oc2c1,2.889244186,21,3,2,0,0,20,19.77624016,3.434797126
C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,1.923181115,44,4,0,0,0,48,19.77624016,2.374497126
COc1ccc(O)c(C=O)c1,3.413118132,8,0,3,0,0,7,12.21557762,3.74679195
CCOC(CN1C(=O)C2=C(c3cc4cc(C(C)(C)C)cc(C(C)(C)C)c4o3)N(CC(OCC)OCC)C(=O)C2=C1c1cc2cc(C(C)(C)C)cc(C(C)(C)C)c2o1)OCC,2.142025862,50,2,8,0,0,24,19.77624016,2.097897126
CN(C)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c4c(cccc24)CC3)cc1,2.551078029,26,3,0,0,0,21,19.77624016,3.204297126
CC(C)[Si](C#Cc1c2nc3ccccc3nc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3c4ccccc4c(=O)c4ccccc4c3nc12)(C(C)C)C(C)C,2.060323383,49,4,1,0,0,40,19.77624016,2.143997126
C[Si](C)(C)C#CC(C#C[Si](C)(C)C)=Cc1ccc(C=C(C#C[Si](C)(C)C)C#C[Si](C)(C)C)s1,2.71260917,28,0,0,1,0,11,16.70273799,2.995304044
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1C,3.201997423,12,4,2,0,0,18,12.29655573,3.565469118
O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)N(c1ccc(Cl)cc1)C5=O,2.361929658,30,2,4,0,1,34,15.95192542,2.874573166
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,2.292204797,35,0,4,0,2,32,19.77624016,2.789397126
CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4c(Br)ccc2c43)=N1,2.683315335,22,3,0,1,3,25,12.93048324,3.128558363
CC1(C)CC(=O)c2cc(F)c(F)cc2N1,3.366869919,11,1,1,0,2,7,12.80248684,3.6307945
CCCCC(CC)COc1c2cc(-c3sc(C)c4cc5c(cc34)C(=O)N(CC(CC)CCCC)C5=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,2.05,46,1,4,3,0,26,19.77624016,2.282297126
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3cc(/C=C/c4ccc(C=C(C#N)C#N)s4)c(C)s3)cc21,2.05,45,3,0,2,0,29,19.77624016,2.328397126
CN1C(=CC2=C(O)C(=O)C2=C2C(=O)c3ccccc3C2=O)C(C)(C)c2ccccc21,2.525152439,25,1,4,0,0,18,17.60739264,3.16798092
CCOC(=O)CCCCCn1c2ccc([N+](=O)[O-])cc2c(=O)c2cc3c(cc21)c(=O)c1cc([N+](=O)[O-])ccc1n3CCCCCC(=O)OCC,2.455286561,36,4,10,0,0,32,19.77624016,2.743297126
C[N+]1=c2ccc3c(c2C(C)(C)CC1)Oc1cc2c(cc1C=3c1ccccc1C(=O)O)C(c1ccccc1C(=O)O)=c1ccc3c(c1O2)C(C)(C)CC[N+]=3C,2.013573744,46,2,6,0,0,36,19.77624016,2.282297126
CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CC(CC)CCCC)C5=O)sc3c(-c3ccc(CC(CC)CCCC)[se]3)c3cc(C)sc23)[se]1,1.85,50,1,2,3,0,31,19.77624016,2.097897126
CC1=C2c3ccccc3C(C)=[N+]2[B-](F)(F)n2c(C)c3cc4c(-c5ccccc5)c5c(c(-c6ccccc6)c4cc3c21)-c1cccc2cccc-5c12,1.824339207,46,2,0,0,2,46,19.77624016,2.282297126
CCCCCCCCN1C(=O)c2cc3c(C)sc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)c3cc2C1=O,2.03,46,1,4,3,0,26,19.77624016,2.282297126
CC[N+]1=C(/C=C/c2cc3cc(C(C)(C)C)cc4ccc5cc(C(C)(C)C)cc2c5c43)C(C)(C)c2ccccc21,2.267107664,38,1,0,0,0,27,19.77624016,2.651097126
CCOC(=O)c1c(/N=C/c2cccs2)sc(/N=C/c2cccs2)c1C(=O)OCC,2.823579545,20,2,4,3,0,19,12.1048197,3.189383149
CC1=C(c2ccccc2)C(C)=[N+]2C1=C(c1c(-c3ccccn3)nc3ccccn13)c1c(C)cc(C)n1[B-]2(F)F,2.335291353,31,5,0,0,2,30,19.77624016,2.973797126
COc1ccc2cc3cccc[n+]3cc2c1,3.060036946,14,1,1,0,0,16,13.14223547,3.505404948
COC(=O)c1ccc(C2=C(/C=C/c3ccc(OC)cc3)O[B-](F)(F)[O+]=C2/C=C/c2ccc(OC)cc2)cc1,2.450443787,29,0,6,0,2,23,17.08229309,2.963627137
CCCCCCc1cc2c(=S)c3cc(CCCCCC)cc4c(=S)c5cc(CCCCCC)cc6c(=S)c(c1)c2n(c34)c65,2.171984266,39,1,0,3,0,30,19.77624016,2.604997126
COc1ccc(-c2c3cc4ccccc4cc3c(C#Cc3ccccc3)c3cc4cc(C)sc4cc23)cc1,2.142025862,36,0,1,1,0,38,19.77624016,2.743297126
CCCCCC(=O)c1c2c(c(C(=O)CCCCC)c3c1OC1(CCCC1)O3)OC1(CCCC1)O2,2.856034483,28,0,6,0,0,8,19.77624016,3.112097126
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2ccc3ccccc3[n+]21,2.610031513,24,3,0,0,2,31,12.86699003,3.033945621
O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12,2.520030426,24,1,7,0,2,26,15.95949975,3.151460991
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(-c5ccccc5C(=O)O)c5ccc(=[N+](CC)CC)cc-5oc4cc3oc-2c1,2.077550167,42,2,6,0,0,40,19.77624016,2.466697126
CC(C)(C)OC(=O)CN1CCN(c2ccc3c(-c4ccc(I)cc4)c4ccc(=[N+]5CCN(CC(=O)OC(C)(C)C)CC5)cc-4oc3c2)CC1,2.202792553,39,4,5,0,1,24,19.77624016,2.604997126
CCOC(=O)/C=C/C1=C(c2ccc(C)cc2)C2=Nc3c(-c4ccc(C)cc4)c(-c4ccc(OC)cc4)c(-c4ccc(C)cc4)n3[B-](F)(F)[N+]2=C1c1ccc(C)cc1,1.84602526,48,3,3,0,2,40,19.77624016,2.190097126
CC(C)[Si](C#Cc1c2nsnc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3c(nc12)Cc1ccccc1-3)(C(C)C)C(C)C,2.300694444,37,4,0,1,0,23,19.77624016,2.697197126
F[B-]1(F)n2c(c3cccc4cccc2c43)=Nc2cccc[n+]21,2.836472603,16,3,0,0,2,21,12.15914071,3.375847347
CCC1=C(C)C(=O)n2c1cc1c(C)c(CCC(=O)O)c(C)n1c2=O,2.951009501,18,2,4,0,0,14,17.29890064,3.478958224
