Actual,Predicted
15.51172,15.729605358770847
15.44098,15.472796630384227
15.47445,15.445859067008904
13.94953,14.07224859250448
15.94221,16.119276369989954
11.30651,11.584293087722788
16.20751,16.193564116231066
12.5887,12.8850646777132
16.27282,16.138287689802134
13.87225,14.150226506326174
14.866,14.847219271345264
14.63525,14.755332163064868
16.2886,16.499327303434896
15.46492,15.72344719636834
15.75091,15.839628639829826
13.53347,13.323991356069328
15.68751,15.768260877630759
14.84015,15.030383338912442
10.54378,10.678840771171025
13.92831,14.132499992280176
16.61541,16.79826860414144
14.01946,14.215937781233766
13.26082,13.238343921701594
13.21129,13.21582620206903
14.79389,14.663347186736743
14.62845,14.579275854304907
15.62275,15.671932527717725
13.11578,13.349498722659874
14.40477,14.23141734616765
12.75551,12.632411742121409
16.72317,16.99949778766156
14.71798,14.929830786283711
11.38651,11.513512078684432
16.45486,16.587172664905367
13.8249,14.008047586532646
15.53894,15.668701395661174
15.84044,16.079276518082256
14.23579,14.448758329805479
14.17266,14.304632154164393
12.3721,12.19647161388457
13.18762,13.373403849337155
13.6464,12.927476079589816
11.85128,12.152691742583851
13.20286,13.335862403645656
14.54627,14.973169379804247
14.20749,14.363180603493019
14.58573,14.699798693317614
14.65376,14.658971090459453
14.72342,14.540932221062924
13.89266,14.13131361006575
14.64042,14.754326793600494
13.76395,13.906937766188696
13.68449,13.768685787404348
14.02953,14.151335112606333
14.22545,14.5324828053248
13.4581,13.555222212360711
14.25974,14.42611080757077
15.39961,15.461235218519793
14.85267,14.992493782872215
15.12397,15.407058982312623
12.49455,12.713510934130436
13.74735,13.74351034010586
11.77971,11.875681384146962
14.12396,14.292600635046146
15.70955,16.056277178051985
11.77264,11.615295141008495
16.41214,16.74314436981583
16.01949,16.218966403182534
14.68478,14.406638396606217
15.96914,15.995878648289324
13.67633,13.834233641097187
14.26083,14.50062414292302
11.56692,11.733815939516917
14.65974,14.65830257630228
13.54,13.37737890499254
13.97647,14.38765895885117
14.88369,14.919733474329295
13.61864,13.91159019312353
14.25675,14.236592131766407
13.65728,13.168268671726842
14.6377,14.597561837409142
14.44124,14.543587424881293
15.45349,15.465086252286683
12.94326,13.11583527388096
14.35362,14.515380200733924
14.77104,14.641944714354075
15.12968,15.286644368952746
13.40422,13.423248857492936
14.55988,14.595011320560268
15.34356,15.241454572166038
15.19281,14.911043428919658
12.77564,13.304065486195059
14.76451,14.879905925748528
17.5629,17.33334587203979
14.70219,14.716740229142463
14.00776,13.974024102936365
17.00072,17.064204122003197
16.40561,16.338255441386405
15.70248,15.8361757963619
15.72397,16.107650883620327
14.46518,14.358688233828369
17.08018,17.08425539856081
14.31634,14.444968057645106
11.23277,11.27041488758553
14.6407,14.704783934800687
13.96667,13.906273454815652
13.82599,14.134042784063663
14.79417,14.8981681850834
16.88915,17.1716254765065
14.97648,15.226934488557102
13.52477,13.638420516129699
12.59714,12.66023004546548
11.94815,12.15152697108807
15.35689,15.635263923576186
13.6747,13.762143375488101
11.77264,11.6842515954027
14.7626,14.72175110072449
14.42001,14.42304043694068
15.52587,15.590226886486654
14.76151,14.952237724577905
12.01972,12.29757414019528
15.05458,15.274307728696037
12.36367,12.690635289684462
15.51064,15.496006829896004
16.14711,16.01477150423107
15.5139,15.7255136831853
11.91223,12.197998463134645
14.0298,14.072915365149886
10.53997,10.746860965206501
13.46191,13.851185799022078
16.04969,15.826026983924773
14.26899,14.47382222754698
11.36583,11.795897524811917
12.70054,13.030198955378463
14.95689,15.012491758483009
16.33105,16.236345793942583
15.69975,15.825526802689
15.9988,16.220682145136454
11.83795,12.144347227418374
13.52232,13.73625100381
15.2173,15.709451241813886
15.70465,15.702615735230768
14.91172,15.014419649401134
13.17565,13.301128152348621
12.66816,12.734873953213889
14.09566,14.24046272670278
15.66737,15.891617511023284
11.83713,12.020808387037942
13.71824,14.039963993748165
17.32072,17.514108956913148
14.2494,14.274281816869095
17.35936,17.361945165209413
14.91988,14.750582910168852
13.39279,13.516431257266564
14.69321,14.678819799487016
16.96398,17.02782700861127
12.54244,12.712989733255354
14.0611,14.188700813412927
13.37075,13.380572484195401
15.40968,15.559449223674502
11.60148,11.959924901456802
12.24067,12.029600024051554
12.04012,12.13067738175371
16.12017,16.15186055456205
12.57618,12.87228016181889
16.37459,16.46315256317727
16.54412,16.502382467653106
11.84175,11.7305086846339
14.44913,14.558342815437705
13.67715,13.806411993851125
12.03931,12.04639525933953
13.72205,14.1377359740085
9.50785,10.021768095947333
13.2864,13.159789842762684
15.74411,16.022849551171714
14.1343,14.29513255763329
13.26354,13.320988242108392
13.86409,13.991969297727318
12.9653,13.374780712489205
16.2886,16.37589131114185
14.03606,13.987915638838293
14.28396,14.480383645899202
12.19305,12.235195872217886
11.86407,12.00313410269458
14.72886,15.024947256166495
15.47445,15.558705951313652
15.16261,15.131016671506082
12.18462,12.54865702975523
15.71091,15.849346723514017
12.7321,12.812512582134866
17.32127,17.749000934984416
13.20639,13.236118757350159
13.58708,13.54384374024455
14.8192,15.034970909635256
13.38163,13.29352603642124
13.11088,13.330835211549541
12.50571,12.599489837400695
13.27606,13.580901704441848
11.08746,11.250583561412196
15.60397,15.581212335549951
11.02324,11.153392317323767
16.10602,16.353569138226526
15.68043,15.778156092494811
12.48013,12.240767259945697
15.10192,15.258535465994068
14.34899,14.463913006478522
15.40506,15.326377113443485
14.65185,14.68186170389061
13.66953,13.641741850897635
13.59905,13.687917232296698
15.90003,15.911138102073583
12.56693,12.68368340027825
12.04883,12.15335492154683
15.31009,15.488050324370244
14.09375,14.421588355391604
13.13429,13.208791970073806
14.08559,14.527415005822554
14.32505,14.191945352567615
16.05051,16.220051256596214
14.09157,14.220608106401022
15.69404,15.778176813328294
14.0211,14.040072120631427
13.80858,13.998816082833354
13.58028,13.888951394876504
12.24366,12.43666975437004
16.05812,16.288997648116677
15.42873,15.868212736275064
15.96887,15.906683216299905
14.1177,14.690974043451044
13.39116,13.610466013447253
16.07227,16.004970445617488
12.42489,12.87137216140704
15.18193,15.245016782598238
12.054,12.311718489536423
15.55173,15.908578559013318
12.09972,12.088511760510773
10.99304,11.089037103993771
13.76177,13.720718762670977
15.79853,15.755806199297382
17.14467,17.407381311774405
17.37868,17.420972852475415
15.87962,15.689550146007605
15.65213,15.808160346713057
12.98326,13.269569251858634
15.3422,15.161695400153157
15.82928,16.032229371744258
15.90302,16.078964294747465
15.27172,15.291977531397297
13.32422,13.39025607448334
11.59277,11.539593748587412
14.3645,14.566476526229241
12.64584,12.702806078653719
14.13729,14.226934534005782
14.29566,14.4710417509014
11.85427,12.19264913307076
13.63171,13.731495799031546
14.21593,14.046225076572632
14.66763,14.64295721517966
15.81676,15.861459678980907
12.91986,13.099169329428237
14.82247,15.079808433505491
14.31525,14.310207841548673
13.17673,13.390399858589806
15.30601,15.250814271025192
14.52342,14.494119900354821
14.11688,14.137908713989198
13.95552,13.982556637034161
14.20586,14.371885153114476
13.98436,14.216448222830117
13.27551,13.267742120963408
11.81808,12.010458881903737
16.96807,16.985953866727804
12.47169,12.560990289080365
13.56694,13.404373261702728
13.19252,13.313107358541952
12.73619,12.934770536487829
14.12722,14.205700069106644
13.35089,13.391504545105137
15.6622,15.180842297278886
12.62952,12.822313091322602
16.69024,16.673496778658958
12.19795,12.28969453912866
13.21184,13.32026355107756
14.12042,14.207780611172923
12.47578,12.520670891638733
14.6758,14.776407638006601
13.57402,13.72798408455019
12.64149,12.634395287287388
14.56668,14.795835872697056
14.9841,15.271033404558903
12.82353,13.02339357902627
14.89893,15.235005761535522
13.65184,13.682235801389744
14.77811,14.870433771032546
14.48341,14.531649149964725
14.07035,14.11372574778412
16.8633,17.109324673658403
