Actual,Predicted
15.51172,15.499892973534758
15.44098,15.3822257502446
15.47445,15.460081714579943
13.94953,13.909877278520913
15.94221,15.92061724461105
11.30651,11.348011754045741
16.20751,16.149714645258978
12.5887,12.613042626188955
16.27282,16.216679628895964
13.87225,13.83732591520734
14.866,14.79724543188402
14.63525,14.605590493746899
16.2886,16.236269784137313
15.46492,15.511034943824438
15.75091,15.742277782640125
13.53347,13.599660751763375
15.68751,15.662239289181478
14.84015,14.802375304053525
10.54378,10.598098411120656
13.92831,13.907926027136241
16.61541,16.609423154696344
14.01946,14.075284195425771
13.26082,13.257769653293378
13.21129,13.3016356334596
14.79389,14.737263326988565
14.62845,14.53170403408692
15.62275,15.564780337292813
13.11578,13.089291912586564
14.40477,14.333379055424277
12.75551,12.76660463664895
16.72317,16.75662391794561
14.71798,14.754215737998255
11.38651,11.403884042642469
16.45486,16.449419561894143
13.8249,13.870968388195063
15.53894,15.577309317346616
15.84044,15.915843002955919
14.23579,14.272430024850683
14.17266,14.174942319553772
12.3721,12.422631728668382
13.18762,13.25098168659361
13.6464,13.573045163032212
11.85128,11.957149729775189
13.20286,13.258751857973623
14.54627,14.583381734718662
14.20749,14.24284317493416
14.58573,14.57478574824567
14.65376,14.667244877292191
14.72342,14.644703528651377
13.89266,13.880034506187133
14.64042,14.604781787034279
13.76395,13.818601148271641
13.68449,13.685707372872645
14.02953,14.049582502770408
14.22545,14.277938018215215
13.4581,13.43193320667007
14.25974,14.305795984368737
15.39961,15.338319319579718
14.85267,14.897757902422281
15.12397,15.265433371866134
12.49455,12.528235698970995
13.74735,13.739313357810287
11.77971,11.819665561741074
14.12396,14.095266086176819
15.70955,15.722687827390727
11.77264,11.756712472197208
16.41214,16.37488233722741
16.01949,16.00321296175183
14.68478,14.667244877292191
15.96914,15.89705409923538
13.67633,13.648020948272055
14.26083,14.305330952408424
11.56692,11.61486687982723
14.65974,14.685291095808788
13.54,13.526367876537854
13.97647,14.049582502770408
14.88369,14.880087036257422
13.61864,13.69038507188086
14.25675,14.233232089790015
13.65728,13.623889762717523
14.6377,14.603924540932443
14.44124,14.467751180945314
15.45349,15.449196378085217
12.94326,12.958544249272947
14.35362,14.37277381517201
14.77104,14.695407459709305
15.12968,15.107481919352095
13.40422,13.315453230402236
14.55988,14.531780352803892
15.34356,15.32538419370447
15.19281,15.107890576750753
12.77564,12.818757547169518
14.76451,14.767928321323744
17.5629,17.41944826735828
14.70219,14.724304974668348
14.00776,14.026686986124838
17.00072,16.94061986935167
16.40561,16.313090234659274
15.70248,15.592751973463148
15.72397,15.706421398483993
14.46518,14.420114862341453
17.08018,17.02019156842956
14.31634,14.305305853129171
11.23277,11.259986988713685
14.6407,14.595647071641485
13.96667,13.941544342665397
13.82599,13.864784632087623
14.79417,14.78427008928854
16.88915,16.86479775296055
14.97648,14.959901042958341
13.52477,13.507914922864593
12.59714,12.616948908362346
11.94815,12.100272974920776
15.35689,15.392127646832558
13.6747,13.671164166787255
11.77264,11.77838968338362
14.7626,14.658025591997353
14.42001,14.420114862341453
15.52587,15.503903516828384
14.76151,14.737263326988565
12.01972,12.132822500751928
15.05458,15.010885758339915
12.36367,12.437072697746439
15.51064,15.511127787752388
16.14711,16.04066409344659
15.5139,15.496002946953656
11.91223,11.980145489497977
14.0298,14.049582502770408
10.53997,10.598098411120656
13.46191,13.494290607794174
16.04969,16.04473640115836
14.26899,14.318567943730997
11.36583,11.558345358212303
12.70054,12.78862689620925
14.95689,14.901765167221601
16.33105,16.18841704456633
15.69975,15.676174188812324
15.9988,15.980294118037142
11.83795,11.892773407841078
13.52232,13.547761847735005
15.2173,15.310536441115216
15.70465,15.648018335781794
14.91172,14.922930121609548
13.17565,13.193773264620134
12.66816,12.714403879909367
14.09566,14.100075485053459
15.66737,15.721232851988825
11.83713,11.93351956706296
13.71824,13.694280343802106
17.32072,17.257987179664195
14.2494,14.273416778774756
17.35936,17.287919729260306
14.91988,14.819262922193882
13.39279,13.385711412793462
14.69321,14.604781787034279
16.96398,16.91311654362098
12.54244,12.629514386405496
14.0611,14.080074687670077
13.37075,13.401514986266886
15.40968,15.426334729859867
11.60148,11.66723323537895
12.24067,12.199143480221828
12.04012,12.034509929783507
16.12017,16.04836089555591
12.57618,12.616948908362346
16.37459,16.342026336711346
16.54412,16.43408031547112
11.84175,11.939144692981557
14.44913,14.43334611377378
13.67715,13.66616148363588
12.03931,12.108315652537263
13.72205,13.815543123646277
9.50785,9.594622595274034
13.2864,13.284992038974604
15.74411,15.768359583016943
14.1343,14.143909578310913
13.26354,13.340401480075673
13.86409,13.895011939751278
12.9653,13.040886833298348
16.2886,16.23136872416201
14.03606,14.030979989513815
14.28396,14.282821306907021
12.19305,12.24349690468505
11.86407,11.892773407841078
14.72886,14.857913852338783
15.47445,15.428754795200282
15.16261,15.145454114530386
12.18462,12.223657221710564
15.71091,15.70592334141935
12.7321,12.771535280492172
17.32127,17.301236273308437
13.20639,13.166425248083486
13.58708,13.51372734039561
14.8192,14.828190512912816
13.38163,13.40306054407475
13.11088,13.139616956189975
12.50571,12.48884605686582
13.27606,13.346672823360048
11.08746,11.13076778036475
15.60397,15.542304354253796
11.02324,11.071019018523096
16.10602,16.071159230799594
15.68043,15.614495912671725
12.48013,12.441624083718896
15.10192,15.078111204910634
14.34899,14.35546197435317
15.40506,15.343115114842291
14.65185,14.628827352765231
13.66953,13.66227976420293
13.59905,13.619813361459952
15.90003,15.835204166514643
12.56693,12.604968626451642
12.04883,12.101854578469315
15.31009,15.296092511786293
14.09375,14.100075485053459
13.13429,13.099321637217736
14.08559,14.074782435233649
14.32505,14.312258819769356
16.05051,16.014638772175108
14.09157,14.084697436990108
15.69404,15.584689757619248
14.0211,14.045712379995656
13.80858,13.815543123646277
13.58028,13.61171379011425
12.24366,12.293117458710789
16.05812,16.107220222295137
15.42873,15.384813260585545
15.96887,15.915843002955919
14.1177,14.227634017199978
13.39116,13.432417058521283
16.07227,16.014638772175108
12.42489,12.560152496529751
15.18193,15.091965398810354
12.054,12.13028345064813
15.55173,15.642321057904521
12.09972,12.151935393542887
10.99304,11.097415472009372
13.76177,13.750647946956075
15.79853,15.720483796047114
17.14467,17.126535844462715
17.37868,17.267027208734877
15.87962,15.745892171020554
15.65213,15.592212410511316
12.98326,13.074904239361741
15.3422,15.27822197187863
15.82928,15.842122759069067
15.90302,15.868711665647151
15.27172,15.253373999109412
13.32422,13.294430664585603
11.59277,11.662598530413684
14.3645,14.320547279928144
12.64584,12.705410744882485
14.13729,14.144691829326069
14.29566,14.311923463155575
11.85427,11.871357147190999
13.63171,13.63545377237237
14.21593,14.209810083714036
14.66763,14.639141750252579
15.81676,15.82970630381425
12.91986,12.975041634981318
14.82247,14.834204989480709
14.31525,14.282471570103576
13.17673,13.197291278703295
15.30601,15.277329190008112
14.52342,14.508096463866977
14.11688,14.087203475071908
13.95552,13.951154483349411
14.20586,14.233232089790015
13.98436,13.987483847660382
13.27551,13.31558059539766
11.81808,11.819321692495333
16.96807,16.91192367377317
12.47169,12.53586943110678
13.56694,13.553104231630003
13.19252,13.219466422320593
12.73619,12.81416020347607
14.12722,14.174611712756596
13.35089,13.363705216393607
15.6622,15.504234674026335
12.62952,12.68398121696634
16.69024,16.627320558118644
12.19795,12.200281624188165
13.21184,13.20036035193431
14.12042,14.106570045891274
