idx,smiles,homolumogap
8603,C=CC1=CC2NC2C1,11.86761
116,CCN=C(N)C(C)=O,12.9702
43104,C=C(C#N)C1CCC1,13.44068
26054,C=C1CCOC1(C)C,14.29185
13893,CC=CN(C)C(=N)N,13.463
22712,C=C1COCC1N,14.37892
25778,C#CC(=C)C1CC1N,12.73455
1790,C1=CC2(CC1)COC2,14.32124
11175,CC1=CC2CC2CC1,13.68449
8510,C=C1CNCS1(=O)=O,13.89266
33384,C#CCC1CC1C#C,15.2075
8316,C=CC1CN1C,14.2611
1695,CC#CC=CCO,12.51224
31130,CNC=CS(N)(=O)=O,13.35905
39604,COC(C#N)C(C)C,17.45433
36753,CC(C)(C=O)C(=N)N,14.09919
15863,O=C1C=CC2(CO2)C1,13.14054
43437,O=CC1C=CC(=O)C1,13.18952
6506,C=CC1(C)CC(C)C1,14.7441
24150,C#CCC(=C)C=O,13.03741
42464,CC1C=CN(C=O)C1,13.10544
33662,CC(C)=COC(C)C,14.22491
22841,C=CNC(=NC)NC,13.23497
8267,O=CC1CC1C=NO,13.77456
9007,C=CC1(CN)CC1C,14.41022
20433,Cn1scc(O)c1=N,11.49264
31778,C=C1CCOC(=O)N1,13.70381
28591,CN=c1[nH]ccs1,12.53999
40469,CC1CCCC(=N)N1,14.55906
23394,CNC1=CC(=N)N=C1,10.74895
25670,C=CNC(C=C)=NN,11.76937
14564,N=C1NCCOCO1,15.2524
43795,C#CC#CC(=O)NC,12.81074
14475,C=Cc1ccoc1O,11.96148
28604,C=NOCCCC,15.13512
34345,CCC(O)CC#N,16.98494
34571,C#CCOC=CC,14.46736
35543,C=CC=CN(O)C=N,11.7906
320,CC(C#N)=CC=O,12.27958
29419,C1=CC(N2CC2)=NC1,13.07524
1588,CON1C=CCN=C1,13.42082
4910,COC(CCN)=NO,15.33866
38278,C1=NN2CC2CCC1,13.99525
31037,O=C1C=CCC12CC2,13.45456
17811,C=COC1=CCOC1,13.69565
15804,CCCS(=O)(=O)OC,18.17896
9162,C=C1CC=COC1,13.71933
18452,NC(=O)N1CC1CO,16.45541
15495,C=C(CC)C1CN1C,14.50437
19487,C=C(C)N(O)C=N,12.55442
29107,C=CC1OCCC1N,14.74927
29870,OCC1C2CC=NN12,14.12287
22283,CC1CCN(N)C1=O,15.63744
21186,COC1CC1C(C)=O,14.96723
18112,COC1=COC=CC1,13.40395
50,CCCC(O)CC=O,15.37104
34654,C#CCC1=COCC1,13.92314
19861,CC#CC(=O)N(C)O,13.44123
43684,C=CC(CO)C1CO1,14.72532
43777,CNC(=O)C(C)=O,13.60558
38383,C1=COC2(C1)CNC2,14.32613
22876,C=CC(=C)CC(=C)C,12.27605
35079,C=C(NC=O)C1CN1,13.46327
7891,CCNC(=O)C(N)=O,14.23008
25390,CC1C(O)CS1(=O)=O,16.69514
27437,C=CC1=COCC1=C,11.40311
24159,C=CCc1conn1,13.62463
38203,CN1C=NC(C#N)C1,14.32858
9063,C=CC(O)C(O)CC,14.71308
27297,C=C1CCCOC1=C,12.78653
15928,C=C(C)CON=CC,14.48042
26444,C#CC(=O)CCCC,14.29239
5680,CC1=CC(CO)NC1,14.22491
27467,C=C1C=CC2OC12C,12.07441
12820,C1=CC2CC2N=CN1,13.04748
39312,C1=Cc2sccc2C1,11.02406
14168,CC1C=COC1C#N,14.25838
22794,C=C1C(=O)NNC1C,13.29184
43517,C=CC1=NN=CC1N,11.65672
3977,CC1=C(CO)OCC1,13.87334
13383,O=CNC1CCCC1,16.01704
22254,CC1CC1N(N)C=O,15.45948
13010,C=CCC(C)(C)N,14.709
31835,C1=NN=CC2CC2C1,13.00122
19030,CC1CC1COC=O,16.23609
3610,C=C(C)OCOCC,14.00042
41546,NC=CC1=NOCC1,12.06788
6198,O=CCc1ncco1,13.463
45658,C#CC(C)(O)CCN,15.87391
36276,C=C(C)C(=NN)OC,12.72884
